Joint_A_lwr,Joint_A_upr,Joint_B_lwr,Joint_B_upr,Joint_C_lwr,Joint_C_mid,Joint_C_upr,Joint_D_lwr,Joint_D_mid,Joint_D_upr,车身重量,扭转刚度,扭转模态,弯曲刚度,弯曲模态
8,4,7,8,7,5,4,9,9,3,356.943,8902.05,24.45070295,7192.23,36.54425121
2,7,1,5,5,6,8,3,6,8,348.654,6830.56,20.54488715,6560.99,32.8597327
1,4,5,9,2,4,8,5,9,9,349.958,7606.69,17.66062123,7406.08,36.7880679
1,8,3,7,8,6,3,9,5,1,351.315,7456.8,23.03596942,6638.03,34.58131796
7,7,4,8,8,4,6,3,2,4,340.184,7434.67,20.31214832,6529.37,35.38138123
2,8,9,6,6,2,2,7,5,7,347.693,8409.49,25.28268614,6622.79,35.82279128
3,2,4,9,9,4,9,3,3,9,344.227,9103.79,20.97295119,7732.56,37.57518167
6,5,9,5,2,7,3,6,4,4,348.729,8284.13,20.7327245,6469.11,34.55869289
2,3,6,3,7,6,8,3,5,8,352.118,7563.03,17.92038823,6793.3,34.47687121
7,8,2,5,8,9,1,8,7,9,351.126,7905.27,25.41486522,6676.82,34.33936125
2,6,4,6,4,5,9,8,2,3,350.964,8866.14,25.37225514,7612.45,37.58416531
8,7,5,8,7,2,9,2,4,4,346.73,7695.88,18.76973393,7019.78,35.91260978
5,6,3,4,5,8,1,6,1,9,348.427,8800.38,26.19238189,6279.72,34.77885325
7,4,7,6,1,4,1,5,6,3,339.715,8538.34,26.92950972,5885.03,33.12035454
5,3,7,9,7,1,7,7,1,6,338.255,7703.87,18.09398134,6405.24,34.02439282
6,2,2,5,4,8,9,6,4,1,353.463,9135.88,24.77109634,7552.54,36.16870257
4,3,4,9,6,4,5,6,5,7,347.925,8578.3,24.09683511,6943.13,36.04765117
7,4,5,9,4,6,1,1,2,5,345.377,10016.25,27.90626832,6961.19,34.84139107
1,6,6,1,8,5,3,7,6,5,347.417,8740.74,22.80139318,7404.92,36.23305117
7,7,9,1,2,6,8,8,2,2,338.366,6464.03,18.70287999,5821.25,32.40599067
3,6,1,2,4,5,4,4,6,9,348.67,8521.53,23.27638933,7740.32,36.35095931
4,5,7,8,1,7,4,3,6,6,340.704,9611.81,26.64169175,6488.37,34.75308577
5,5,2,4,1,3,1,8,4,7,351.294,9711.83,26.92384521,7096.89,35.89592235
8,7,4,6,2,1,6,1,2,2,338.431,7345.57,20.99604957,6237.06,33.4107515
3,3,5,5,1,1,5,1,5,4,353.476,9097.35,22.44061935,7539.58,35.34532121
1,7,1,8,5,2,8,3,3,4,345.624,7223.59,21.25243852,6879.63,35.32112377
7,3,8,3,7,5,4,3,3,9,343.93,8084.68,20.43878695,6825.36,34.73427014
6,6,3,1,1,3,2,9,5,9,366.029,9172.25,24.58751013,6933.12,36.30781376
4,5,5,6,9,1,4,8,3,3,349.66,9802.61,26.05265543,7637.13,37.31391591
5,4,6,3,2,7,7,8,4,2,341.182,7506.56,18.91160075,6604.96,33.65947702
3,8,4,5,7,6,1,9,6,7,353.388,9003.05,26.40610256,6431.03,33.39611072
4,2,3,7,2,3,2,8,8,3,349.252,9487.03,26.89511298,7052.09,36.52695916
1,7,6,5,8,4,6,4,9,9,341.575,6572.57,19.54503477,6972.05,34.84715402
6,2,4,4,4,9,8,7,7,2,353.945,9110.58,21.58304557,7147.62,35.84276659
4,9,1,3,9,4,6,2,3,5,351.833,8415.68,20.92587845,7444.46,36.10421369
4,9,1,1,6,8,4,4,1,5,347.828,8763.51,25.10452876,6859.77,39.43688292
5,6,6,6,2,6,3,3,6,8,337.262,7683.38,20.40322333,6168.17,33.82108132
3,1,2,9,7,4,8,2,6,1,349.905,8669.24,19.30600532,6813.99,34.26634111
8,7,4,5,9,5,4,1,2,4,344.279,8043.77,21.70439884,8143.57,37.24782733
8,4,7,1,2,2,6,2,6,3,345.193,8177.17,22.79127165,6384.56,33.92399374
4,1,9,3,2,1,2,7,2,3,350.43,9811.76,26.71208695,6845.81,34.94338228
2,5,9,9,6,6,2,7,7,2,347.704,9802.94,26.18687085,6081.75,33.10573378
1,4,4,9,2,2,2,4,8,2,345.408,9433.32,27.19057378,6690.38,33.65939838
9,2,4,5,8,6,8,6,4,3,342.637,8097.68,23.497527,6618.36,33.9664207
3,7,1,4,8,3,9,1,8,5,346.121,8001.77,21.69742046,7199.18,35.29049853
7,5,1,2,4,5,9,8,4,9,343.579,8821.12,21.66366646,7420.72,36.53270998
9,5,8,7,9,4,9,1,6,5,338.602,9742.11,21.98589372,7383.9,36.41447665
1,7,2,2,9,7,9,6,5,7,351.343,7671.66,21.26510321,7459.46,38.31121577
4,7,1,5,2,9,7,5,4,1,347.694,7130.52,22.35606871,7130.84,35.31481593
1,7,1,9,2,9,3,7,4,2,344.586,7152.14,22.24057374,7094.83,35.0676216
9,6,1,4,5,3,8,4,7,3,350.104,7821.53,21.58832269,6978.85,34.21766488
5,7,8,5,6,5,9,8,2,3,340.409,7254.62,22.15224743,6827.89,35.669518
5,9,2,3,7,1,9,3,5,4,351.011,8136.87,20.47235872,7379.32,35.0038938
1,6,5,4,4,2,3,2,1,8,346.688,8084.56,20.50438697,7302.67,35.66127127
6,6,5,4,6,5,1,6,6,6,355.61,9659.68,27.74761295,7370,37.28552131
7,2,9,2,7,1,8,4,1,4,340.061,7912.47,21.44904462,6214.03,34.08715259
9,4,7,7,9,1,9,7,6,1,337.968,9088.37,25.01067487,7382.11,36.53532836
1,3,7,8,3,4,5,5,6,6,341.072,8107.06,24.51808879,5743.43,33.15654057
5,7,6,2,1,4,3,8,4,8,336.272,6413.46,19.18301765,6422.26,32.44845009
7,8,5,7,6,9,1,2,9,5,355.552,8992.7,27.24517126,7485.25,37.54047358
1,4,8,9,5,7,3,4,1,3,341.479,7574.58,24.6225319,6304.42,37.59897911
3,5,7,8,1,1,6,1,1,4,341.506,8690.22,20.66774017,6286.43,33.64514587
8,6,7,9,1,9,4,5,9,9,341.728,7620.55,22.36997527,6444.98,34.538375
2,2,9,9,4,4,4,5,9,6,346.961,8568.48,26.09515431,7295,36.581537
8,4,7,5,6,6,2,7,8,2,342.361,8942.1,25.86799147,5972.44,32.72962972
8,2,1,6,9,6,4,7,2,8,344.383,8873.54,22.86885227,6579.49,34.86293465
1,1,7,8,3,3,8,6,4,9,346.948,7786.51,18.46364957,5883.9,34.2073895
6,3,4,4,8,9,1,6,1,5,355.997,10056.08,27.82294715,6732.35,36.02423348
9,3,7,5,6,7,1,7,8,9,341.545,9047.28,24.88284687,6279.9,34.08400429
1,9,2,2,7,3,3,1,9,3,351.176,7715.58,22.62876415,7624.65,35.81293154
3,7,3,7,3,9,4,6,2,8,345.94,7059.69,21.7774016,5748.54,33.02286714
7,3,3,4,7,4,7,8,6,5,340.338,7747.34,21.08617984,5848.85,33.13069679
6,4,9,1,3,2,6,9,9,3,357.97,8290.7,23.87002885,6141.92,34.07544409
5,5,1,2,2,3,6,3,2,4,349.111,9370.66,21.5788659,7357.71,35.87534648
1,4,5,6,8,4,7,2,3,5,352.254,8901.4,20.36381219,7151.18,35.72980857
7,2,5,3,8,4,8,4,3,5,351.319,8207.44,19.2934056,6908.49,34.59033953
7,5,3,7,4,1,5,4,7,8,342.315,8233.54,21.2387603,6139.22,32.91996348
9,6,8,9,3,4,9,3,9,9,335.646,7911.03,20.31298383,6196,33.85284996
3,6,3,5,6,5,1,7,1,4,348.105,9548.41,26.74294719,7060.71,36.37105405
2,1,6,7,7,5,8,3,3,4,351.735,8791.47,20.01241401,7725.04,36.68700296
4,6,1,2,8,6,7,4,2,2,347.201,7911.57,21.98821568,6109.06,31.07930046
1,6,3,4,6,6,6,7,5,7,344.08,8071.35,21.81875579,6173.58,34.19855096
1,1,9,2,3,4,7,4,1,4,340.997,7946.04,20.05389832,6000.51,33.1731182
1,8,1,6,8,7,1,2,1,2,343.102,8811,27.53841705,6462.18,34.69092654
5,9,7,2,2,8,3,4,7,4,345.304,7290.99,17.55191525,6511.69,33.36888155
7,1,4,5,2,3,1,9,6,1,356.544,10326.82,28.27663332,7273.92,36.72613333
9,4,1,8,3,7,6,7,3,2,342.867,8254.78,23.69653012,5884.1,33.20860755
5,8,3,3,6,6,1,5,9,5,345.544,8061.86,26.7332454,6202.44,34.17084151
8,6,6,9,3,7,1,5,2,2,338.176,8156.31,26.60047794,5703.83,32.57944425
5,8,6,9,1,3,8,1,6,5,337.547,7342.25,22.08247143,6761.28,34.46622297
5,7,8,9,1,2,4,5,5,8,337.439,6934,22.5443624,6171.37,32.65008728
5,4,8,1,3,6,3,1,1,3,340.617,8113.75,24.41697479,5711.35,32.43802502
9,3,6,1,5,8,2,9,7,7,356.78,9248.13,25.16337389,6770.7,39.47665204
3,6,4,1,5,9,3,5,2,5,356.749,8439.55,23.42996766,7011.61,38.68097854
6,8,5,2,1,7,6,7,8,6,349.395,7571.89,21.81715769,7048.56,34.82057652
3,8,3,1,3,9,6,7,6,8,346.204,6803.75,20.71547532,5820.61,33.12755049
6,1,4,1,8,1,6,5,9,3,352.878,8512.8,20.9757035,7002.68,35.9747085
3,8,4,4,3,4,8,2,1,7,345.094,7295.6,23.10474006,6005.7,33.39803986
3,5,2,2,1,3,2,4,2,7,356.808,9813.61,26.14898953,7143.02,34.61891466
2,9,6,1,2,4,9,2,5,5,359.03,8684.32,23.72489418,7346.11,36.5819078
2,5,5,3,7,8,9,2,5,3,363.834,9431.58,19.86107699,7842.07,36.91360091
3,9,7,8,7,8,8,6,6,8,343.079,7093.19,21.83186875,6126.48,34.61528602
6,8,5,3,3,1,3,9,7,9,362.561,6732.21,18.91701653,5704.73,30.80276368
1,1,6,6,5,7,8,5,9,1,344.574,8178.44,24.21503927,6601.09,35.13499804
3,8,3,3,8,5,9,7,8,7,345.041,7336.58,20.34642766,7044.02,34.90086304
6,3,8,1,3,6,2,8,9,2,351.565,8895.39,26.12890908,5839.43,33.24010731
2,3,4,2,2,8,3,1,8,8,352.541,8222.08,18.87182211,7483.02,35.94133879
3,2,3,7,4,9,2,5,3,1,348.045,9485.45,27.47465282,7127.46,36.56915973
9,5,7,1,7,3,6,9,5,4,357.134,9049.6,21.33826511,7152.44,36.09912506
5,1,2,2,4,7,7,3,8,5,348.059,9351.07,21.53833597,7410.48,35.39413093
9,5,8,5,8,6,3,4,4,7,337.982,7933.89,23.10086149,6087.74,32.04488616
6,1,1,6,1,6,3,1,4,3,344.48,8304.26,24.86802318,6339.08,32.8035853
4,2,8,2,5,6,7,2,7,8,350.69,7633.3,21.0346332,5833.17,30.4136115
3,1,6,3,4,2,3,5,4,5,342.947,8033.35,19.65930054,6912.3,34.41960564
9,5,5,9,8,3,6,2,2,6,346.48,8797.54,20.38911083,7461.85,35.8439715
8,8,6,8,4,4,9,8,7,7,336.484,7214.4,20.9368431,6723.28,35.44638019
1,8,3,9,1,3,7,8,6,8,335.906,6082.07,20.32418442,6219.13,33.38905308
6,4,3,6,4,6,7,6,4,4,346.024,7645.3,19.27368628,6117.18,34.08189621
5,5,3,9,6,8,3,7,5,5,345.74,8825.29,19.26236733,6708.72,35.4609545
2,3,1,8,9,5,7,5,4,9,357.003,7333.42,16.51943468,7755.94,38.06798267
7,1,7,3,2,2,6,6,7,1,341.999,7974.26,21.44604775,5770.47,32.15751182
8,7,7,1,9,3,6,2,3,4,347.76,7187.16,19.64009885,7221.75,36.61281472
8,1,2,3,2,8,3,1,4,9,349.947,7856.67,18.06768906,7297.9,34.70776895
4,7,3,6,4,2,2,1,5,7,340.804,8405.36,25.33649863,6836.81,35.99398902
7,8,7,4,6,4,7,4,4,7,336.884,6543.89,20.2775662,6054.35,33.78785581
3,3,9,7,4,7,9,5,9,9,342.341,8044.28,23.04738097,7116.49,36.53616102
4,7,7,1,7,5,8,8,1,2,341.806,7051.83,21.59685466,6814.57,36.17975151
7,9,2,4,4,6,5,2,8,4,348.788,8185.31,21.52744646,6694.49,34.18085516
8,4,6,9,9,9,6,4,1,4,341.673,7920.43,19.81762658,7234.23,35.87321128
5,7,4,7,2,3,8,2,8,6,348.543,7571.12,22.57466397,7576.49,36.75779727
2,8,1,6,4,2,2,3,5,2,350.113,9030.06,27.16136738,7455.06,36.934898
3,6,6,3,5,7,2,9,4,2,357.016,9162.65,25.77169308,6871.7,34.22767667
5,8,9,8,4,7,8,5,7,6,338.412,6835.48,22.7209575,6620.36,39.24107541
6,9,6,2,2,7,6,7,1,8,342.975,7234.34,17.94510161,6554.91,34.4855029
3,2,2,4,8,3,9,3,7,9,353.455,9366.67,22.98677092,7189.16,35.40037669
8,4,5,1,7,5,4,6,8,3,354.238,8955.44,23.73507114,7389.84,37.33200507
6,3,1,9,7,9,3,6,8,9,352.051,7382.96,16.81383761,6479.19,34.37068401
5,5,5,5,3,1,5,3,9,8,348.959,9277.35,22.30909285,6673.51,34.72135839
4,9,6,1,5,1,8,5,4,1,345.582,7557.13,22.606641,6805.73,34.53013688
2,2,7,5,3,1,8,8,6,2,346.115,8034.57,24.35918413,5500.2,31.06155727
3,5,1,7,5,5,8,1,2,7,350.59,8937.28,23.21912208,7725.46,36.51030102
5,8,6,5,3,5,9,7,2,5,345.288,7817.29,23.39757206,6735.3,34.70483241
5,8,5,7,4,4,7,2,8,4,349.353,7361.27,21.00750091,7827.57,36.50482179
3,2,3,5,4,9,1,7,4,3,350.606,10046.14,26.86010449,7348.93,36.91717209
9,5,7,9,2,4,7,6,3,6,340.625,7774.74,19.03288076,6447.58,34.39444726
8,5,7,7,1,3,9,6,8,2,343.494,8742.24,23.72655008,6458.68,34.59958314
6,7,7,9,9,5,4,8,2,9,343.418,7286.17,22.93878099,7097.42,38.21207138
6,6,9,8,9,6,9,2,7,2,348.655,8680.34,23.5865412,6509.27,34.40998205
2,9,1,1,2,3,3,8,1,8,352.217,7113.47,17.26158546,7137.71,36.33556839
7,6,6,4,5,1,9,1,7,1,340.91,8505.3,22.46406745,6459.65,33.82920196
8,2,8,4,1,6,5,9,6,8,348.475,8219.86,22.14489317,5635.98,29.48085621
4,3,6,6,2,6,2,6,4,6,346.862,9101.53,26.23916209,6456.8,34.6858796
7,9,6,9,6,7,4,3,9,3,334.438,7937.25,22.01513283,6631.29,38.07525642
5,6,2,5,9,2,3,2,6,7,349.581,8345.92,22.05307407,7247.14,34.60965572
2,6,2,6,6,2,2,7,7,1,356.017,9735.97,26.87263982,6574.86,33.97304265
3,7,1,8,1,4,9,6,6,7,343.795,7579.65,21.76509902,6450.31,34.25792407
4,4,4,3,2,4,8,2,2,5,356.617,8662.02,19.41780612,6773.94,33.90264323
2,8,7,5,8,6,1,9,5,4,362.85,8850.43,27.2080377,6860.08,34.80558051
7,9,3,2,9,8,6,1,3,3,338.564,7510.01,21.15964615,6770.72,35.56182697
9,2,4,2,5,8,3,2,1,8,345.369,7995.66,21.24607652,6996.46,34.00575463
9,4,8,9,8,8,5,5,2,2,336.039,7818.32,24.57054497,6105.55,33.71236201
3,2,3,3,6,6,2,3,2,6,344.238,9377.89,25.79721941,6201.05,33.66459958
9,8,3,8,8,3,5,9,4,6,348.13,7686.53,23.0936903,6828.93,36.2812042
9,1,6,6,4,5,9,5,1,7,334.055,8274.68,21.58269172,7255.77,36.76980345
1,7,9,3,3,3,2,9,8,7,351.715,8013.59,24.90843088,6125.07,33.40826278
2,4,5,3,1,8,5,9,3,4,368.792,9117.49,21.34735445,7307.54,35.33333317
1,4,4,4,5,2,1,5,3,5,350.992,9572.68,28.73185583,6818.99,34.52387933
3,9,1,3,8,9,4,1,1,7,343.384,8091.27,20.96923338,6963.75,33.97228213
4,4,2,2,1,8,5,6,5,5,359.022,9288.13,25.51733584,7304.03,35.9464649
4,2,8,3,8,3,3,3,7,7,345.297,8047.85,20.84744202,6626.81,33.76489861
9,2,2,5,8,1,1,1,4,2,345.675,9572.89,27.16624017,7069.26,34.17252937
7,7,6,8,3,1,5,6,7,6,340.226,7133.46,21.10522766,5399.24,32.42365594
7,1,5,7,6,4,1,4,8,2,348.083,9568.29,26.91996784,6941.64,34.83262431
8,8,7,6,5,9,8,6,2,1,344.629,7084.77,21.88122311,6129.1,34.47328199
4,6,7,6,2,2,4,3,6,6,338.826,8850.1,25.48289076,6403.98,34.47290872
9,3,5,9,7,8,2,8,7,7,343.03,8956.77,25.5158448,7008.02,39.50118282
2,4,3,9,2,9,9,5,5,1,353.956,8208.73,19.52484308,6862.05,36.06942726
8,4,5,5,9,4,2,5,3,9,351.68,9067.73,25.66281634,7625.73,37.51794008
1,1,9,4,6,7,5,8,6,6,335.665,8654.73,24.69588991,6201.18,34.24334963
3,9,4,3,9,1,8,4,8,3,349.067,7496.17,24.25019734,7195.16,35.77764419
6,9,3,7,6,2,5,8,1,6,336.852,7697.8,23.36821292,6108.26,34.40269725
5,9,7,4,6,4,9,3,3,9,338.28,7978.1,22.8564617,6443.72,34.9576482
8,9,4,9,2,1,6,4,2,8,340.911,7041.56,17.9211946,6266.02,32.46407731
8,8,9,7,4,1,8,1,8,6,335.089,6775.23,20.88325348,6947.16,35.75570316
3,7,3,2,6,3,4,3,7,5,343.816,8124.24,22.76138698,6574.73,34.27831287
9,5,7,8,3,8,9,1,9,9,340.077,9025.87,20.27811271,6345.32,34.91375049
6,5,3,4,8,3,3,8,8,3,347.976,8282.08,19.96561337,6347.4,34.6060133
5,2,2,8,6,6,8,4,3,3,351.605,8384.21,23.00742047,6532.49,33.86202186
3,6,5,9,8,5,3,6,5,1,352.828,8493.63,20.36546774,7717.16,37.17902184
2,1,3,2,1,3,7,2,7,3,356.19,8242.7,19.01759689,6510.22,33.41496653
6,1,3,8,8,6,7,9,6,9,355.26,7448.85,16.72671309,5719.45,32.190301
4,8,7,5,6,8,2,6,4,1,343.722,8622.22,27.65453824,6741.66,35.59834829
3,6,8,2,1,3,4,5,8,5,347.154,8498.03,25.17998038,6536.04,34.23496875
9,5,8,4,6,4,7,9,3,8,350.085,7971.5,19.15255832,6201.1,33.66276736
2,1,5,4,3,4,9,1,6,7,350.874,9485.62,24.25652172,6512.16,34.31199289
2,9,2,7,1,4,6,9,7,7,363.136,7988.91,22.60013792,6530.57,32.19268323
9,5,2,7,2,9,4,2,6,8,352.649,8963.52,22.73559624,7399.14,35.33296146
4,3,6,6,9,5,1,3,4,3,346.762,10237.61,27.43850006,8125.18,38.72314437
7,4,8,6,8,8,7,8,8,4,338.99,7458.83,19.23303134,6032.05,33.6500271
4,1,1,7,3,7,3,7,1,4,346,8545.87,19.81884783,6216.95,33.33887833
1,9,6,3,7,2,5,5,6,4,338.479,7438.91,20.73672597,6374.59,33.61527808
9,9,1,6,2,5,9,2,2,8,345.005,7712.39,22.50659941,7162.24,36.15511453
5,9,4,7,2,5,1,1,8,6,346.135,9891.02,27.77064955,8098.98,37.98363608
3,6,9,9,7,8,9,7,3,8,341.445,8160.47,22.40812732,6685.67,35.21280822
3,1,5,4,9,8,8,1,3,1,350.577,9699.51,21.62074687,7798.53,37.61870986
9,3,2,9,7,8,4,2,7,4,349.618,8658.49,22.97988049,6989.14,33.40411287
7,6,1,5,7,2,2,3,6,9,341.377,8776.61,25.12101483,6362.9,33.7872092
7,9,7,8,9,5,5,7,6,2,340.979,8363.86,22.86298328,7257.33,37.94801865
1,4,6,7,2,3,7,9,1,9,354.581,7625.7,17.5192289,7201.66,35.62895952
9,4,4,1,3,8,4,1,1,9,341.219,8859.81,24.12027991,6386.82,34.03479712
6,2,7,5,6,2,2,3,5,4,348.86,9743.16,26.2899783,6848.49,35.36376338
4,7,7,3,8,9,8,7,9,2,349.449,7064.26,20.09066661,6852.92,34.78219428
9,6,6,8,2,3,6,7,5,3,347.232,8144.56,20.40729748,7521.12,36.78144107
9,6,4,7,4,6,6,2,6,3,340.45,8193.44,23.0302387,7082.84,34.41301147
8,9,2,4,5,5,3,7,8,4,354.203,7653.56,19.97185946,7753.02,36.12877987
8,9,9,7,2,8,2,2,9,6,346.895,8576.97,25.68083292,7307.1,39.28301661
8,6,3,5,4,5,7,2,8,1,344.706,8017.44,21.97322313,7401.42,36.12138098
1,2,2,7,3,1,6,8,2,1,346.5,8647,24.17015271,6013.8,32.00284033
7,1,2,8,5,4,4,4,7,7,352.667,8674.6,23.35896975,6531.69,33.39069663
4,7,8,9,3,7,3,4,4,9,338.865,6248.55,21.94742952,5502.45,31.0491492
2,3,5,3,3,6,7,9,8,1,364.889,8332.13,19.18401391,6023.98,31.88047732
2,5,1,2,5,8,5,8,3,7,354.569,8913.2,23.70571058,6910.11,34.95035471
6,7,7,9,7,8,6,3,5,5,342.833,7648.21,22.73040439,6917.77,34.87433664
4,9,1,7,3,3,2,5,2,6,348.087,8753.81,26.82418156,6523.44,34.90957964
9,1,5,1,4,7,3,7,1,7,343.461,8909.1,21.05923003,7517.69,36.18362649
9,6,8,3,6,3,9,6,7,8,343.16,7569.54,20.10418476,6325.43,33.72437984
1,1,9,9,1,2,3,1,3,3,335.067,7820.41,25.28248627,6431.73,33.42753495
9,8,6,4,1,2,3,4,2,8,336.45,6329.1,19.25473215,5834.02,30.2356076
2,3,2,4,9,7,2,4,9,2,364.136,9799.92,26.3134232,7650.34,36.49880909
5,7,8,9,8,7,2,5,9,4,341.301,7876.2,25.30719135,6571.08,35.06096617
5,5,2,9,3,1,5,2,5,3,353.845,9033.63,21.71326783,6523.5,33.92135077
9,9,2,2,6,2,4,7,3,4,345.121,8262.37,22.48832633,6943.16,38.37754166
9,4,8,8,2,1,5,3,5,8,343.75,8363.82,21.48305035,6732.44,35.75855871
7,9,2,4,9,9,1,9,3,2,362.911,9451.76,26.05243958,7214.08,36.8685333
4,4,7,4,9,4,8,8,4,8,343.769,7879.43,19.5708424,6867.51,35.98895835
4,2,5,6,2,8,1,1,3,8,352.471,10386.46,26.47618321,7524.65,37.43533549
8,1,7,1,6,1,7,3,4,2,339.203,8336.72,20.69566612,6346,34.41568918
7,3,9,7,8,8,7,6,4,6,339.803,7478.6,18.99574319,6584.74,35.11273118
6,7,9,3,1,9,1,6,1,1,346.343,7980.82,25.93843128,6360.95,34.4568425
9,4,9,8,8,1,4,4,2,7,338.786,8281.17,24.00289763,6247.14,33.42042179
6,1,1,2,6,7,2,2,2,1,352.303,10186.56,27.56757039,6608.63,34.40954626
5,5,7,3,4,5,5,1,9,5,347.01,9503.62,23.07124444,8073.62,37.17716455
1,7,7,2,2,3,7,7,3,6,345.363,7054.61,21.66413767,6974.44,34.98996273
7,4,9,2,5,5,1,6,4,2,346.946,8746.97,27.25931927,6873.16,36.17651785
2,1,8,8,5,5,8,9,9,9,367.838,8416.29,18.34064679,7536.54,37.13272244
5,1,8,7,5,2,7,8,2,1,340.93,8208.5,21.14888025,6219.37,32.70827866
5,8,3,9,3,5,2,4,3,3,343.381,7993.05,26.28781275,6361.52,34.93256262
1,4,5,4,5,9,7,5,7,6,355.053,8012.76,22.349168,7206.52,37.87852736
2,3,4,8,5,7,4,8,9,1,355.67,9168.53,25.8049836,7210.97,38.83315189
8,4,4,1,6,6,9,5,3,8,344.446,8219.99,22.61034837,6537.89,34.38486084
6,9,6,4,5,8,6,4,4,9,347.638,7070.86,20.28562305,6726.85,33.85184879
1,7,1,1,3,4,3,3,6,1,340.602,7549.94,21.78385145,6257.9,34.04764859
6,5,8,7,3,8,4,5,4,4,347.16,8570.61,22.70362288,6073.05,33.50480725
7,4,8,3,5,7,1,5,8,1,344.709,8480.12,27.0475025,6255.83,34.05837415
5,3,9,2,5,4,4,3,5,2,345.684,8914.96,23.87583436,7235.2,35.74183159
7,3,3,4,6,3,3,6,4,7,342.705,7495.02,20.43685971,6037.88,34.81116966
5,6,9,4,3,3,8,7,4,8,343.208,7669.87,21.72381758,6150.16,34.26351681
2,4,3,2,3,1,3,4,2,9,353.078,7534.87,22.22643236,5297.82,29.99397601
4,3,6,2,4,9,6,6,6,8,346.305,7769.48,19.57227901,7034.57,35.68849743
2,6,7,1,8,6,5,6,8,1,350.911,8685.41,24.94860359,6152.99,33.19703709
4,9,5,9,4,2,9,6,5,2,347.151,8231.32,23.86181553,7530,37.05323923
4,5,9,6,7,8,4,3,3,7,340.205,9505.23,25.64168295,6504.64,39.37026707
6,9,9,2,3,3,2,5,1,2,343.256,8263.55,26.36684351,6012.29,34.04780036
7,8,6,5,5,1,2,5,4,4,343.214,7533.21,25.20985354,6630.54,33.76745593
8,5,3,4,4,4,9,7,8,3,343.627,9259.57,21.62071407,6776.43,35.3778512
8,8,8,1,4,7,7,5,2,8,340.079,6104.88,19.33684059,6225.82,32.81144477
8,4,1,3,9,7,2,4,9,7,350.488,9075.62,25.65192744,7409.37,36.36090723
4,1,3,7,6,5,5,6,1,4,345.981,8717.16,22.78888868,6765.93,36.11889214
7,2,8,1,9,3,4,1,7,6,345.348,9321.86,24.01526258,7185.38,39.27709579
3,7,5,7,8,8,1,7,9,7,352.209,9106.93,25.46003862,7889.6,37.78989022
8,9,8,3,5,7,1,5,7,7,343.589,7816.78,25.07815546,6039.03,32.53797903
7,1,8,1,5,2,9,4,7,6,345.799,8593.66,23.37982416,6092.57,32.57298264
7,7,7,8,2,5,4,6,5,2,347.032,7521.02,21.6883768,6770.03,36.45536048
8,8,5,2,9,9,8,2,7,2,353.317,7428.71,20.18911195,7497.59,35.76028036
